PLAYER_NAME,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y
Natasha Howard,Mid-Range,Right Side(R),8-16 ft.,10,107,-9
Kiah Stokes,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-30,41
Breanna Stewart,Restricted Area,Center(C),Less Than 8 ft.,1,-15,0
Amanda Zahui B,Mid-Range,Center(C),16-24 ft.,17,-1,176
Layshia Clarendon,Restricted Area,Center(C),Less Than 8 ft.,2,21,14
Natasha Howard,Mid-Range,Left Side(L),16-24 ft.,16,-165,2
Jewell Loyd,Mid-Range,Right Side(R),16-24 ft.,18,181,2
Sabrina Ionescu,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6
Sue Bird,Mid-Range,Left Side(L),8-16 ft.,9,-93,25
Breanna Stewart,Mid-Range,Right Side(R),8-16 ft.,10,102,-4
Kia Nurse,Mid-Range,Left Side(L),8-16 ft.,15,-104,113
Sabrina Ionescu,In The Paint (Non-RA),Center(C),8-16 ft.,9,-2,92
Epiphanny Prince,Above the Break 3,Left Side Center(LC),24+ ft.,25,-91,235
Breanna Stewart,Restricted Area,Center(C),Less Than 8 ft.,3,12,31
Mercedes Russell,Mid-Range,Center(C),16-24 ft.,17,-25,173
Leaonna Odom,Restricted Area,Center(C),Less Than 8 ft.,3,20,29
Layshia Clarendon,Restricted Area,Center(C),Less Than 8 ft.,3,10,33
Amanda Zahui B,Above the Break 3,Right Side Center(RC),24+ ft.,24,181,162
Layshia Clarendon,Restricted Area,Center(C),Less Than 8 ft.,3,-37,12
Alysha Clark,Restricted Area,Center(C),Less Than 8 ft.,1,-10,15
Jewell Loyd,Above the Break 3,Left Side(L),24+ ft.,23,-236,31
Jewell Loyd,Mid-Range,Left Side(L),16-24 ft.,17,-174,18
Breanna Stewart,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-43,15
Jocelyn Willoughby,Above the Break 3,Right Side Center(RC),24+ ft.,25,180,184
Amanda Zahui B,Mid-Range,Left Side(L),8-16 ft.,13,-135,30
Breanna Stewart,Above the Break 3,Left Side Center(LC),24+ ft.,24,-115,211
Layshia Clarendon,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-41,18
Ezi Magbegor,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,50,-6
Sue Bird,Above the Break 3,Left Side Center(LC),24+ ft.,24,-202,146
Natasha Howard,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,52,-9
Leaonna Odom,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,43,-10
Sabrina Ionescu,Mid-Range,Left Side Center(LC),16-24 ft.,18,-72,172
Sabrina Ionescu,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,57,-22
Jewell Loyd,Mid-Range,Left Side Center(LC),16-24 ft.,17,-61,162
Sue Bird,Above the Break 3,Center(C),24+ ft.,24,-14,242
Layshia Clarendon,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,54,38
Ezi Magbegor,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-50,18
Alysha Clark,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,2,74
Leaonna Odom,In The Paint (Non-RA),Left Side(L),8-16 ft.,11,-74,92
Kiah Stokes,Above the Break 3,Left Side Center(LC),24+ ft.,25,-226,113
Sue Bird,Above the Break 3,Center(C),24+ ft.,26,-57,259
Kylee Shook,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-57,-1
Epiphanny Prince,Mid-Range,Center(C),16-24 ft.,18,-22,185
Jordin Canada,Mid-Range,Center(C),8-16 ft.,14,-4,149
Sami Whitcomb,Mid-Range,Right Side Center(RC),16-24 ft.,20,119,162
Jordin Canada,In The Paint (Non-RA),Center(C),8-16 ft.,13,33,133
Jordin Canada,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-58,13
Amanda Zahui B,Above the Break 3,Center(C),24+ ft.,24,36,238
Jordin Canada,Mid-Range,Right Side Center(RC),16-24 ft.,20,83,188
Mercedes Russell,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-47,1
Mercedes Russell,Mid-Range,Left Side Center(LC),16-24 ft.,18,-85,165
Breanna Stewart,Above the Break 3,Center(C),24+ ft.,26,26,260
Jocelyn Willoughby,Above the Break 3,Left Side Center(LC),24+ ft.,24,-124,209
Jewell Loyd,Mid-Range,Left Side(L),8-16 ft.,12,-123,17
Leaonna Odom,Above the Break 3,Left Side Center(LC),24+ ft.,24,-188,161
Ezi Magbegor,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6
Sami Whitcomb,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,49,13
Brittney Griner,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,26,39
Brittney Griner,Mid-Range,Center(C),16-24 ft.,17,-53,171
Nneka Ogwumike,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-35,27
Candace Parker,Restricted Area,Center(C),Less Than 8 ft.,3,-26,22
Candace Parker,Mid-Range,Left Side(L),8-16 ft.,10,-104,14
Diana Taurasi,Above the Break 3,Left Side Center(LC),24+ ft.,24,-180,165
Candace Parker,Restricted Area,Center(C),Less Than 8 ft.,2,19,11
Nneka Ogwumike,Restricted Area,Center(C),Less Than 8 ft.,2,-24,8
Brianna Turner,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-3,72
Seimone Augustus,Above the Break 3,Left Side Center(LC),24+ ft.,25,-210,136
Chelsea Gray,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-45,51
Sophie Cunningham,Above the Break 3,Center(C),24+ ft.,24,0,240
Tierra Ruffin-Pratt,Mid-Range,Left Side Center(LC),16-24 ft.,17,-119,126
Brittney Sykes,Restricted Area,Center(C),Less Than 8 ft.,3,-30,-2
Kristine Anigwe,Restricted Area,Center(C),Less Than 8 ft.,3,-32,8
Kia Vaughn,Mid-Range,Right Side(R),8-16 ft.,14,147,-16
Shatori Walker-Kimbrough,Above the Break 3,Right Side Center(RC),24+ ft.,24,162,184
Kia Vaughn,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,64,-17
Riquna Williams,Above the Break 3,Left Side Center(LC),24+ ft.,25,-193,173
Shatori Walker-Kimbrough,Above the Break 3,Right Side Center(RC),24+ ft.,24,159,183
Sydney Wiese,Restricted Area,Center(C),Less Than 8 ft.,3,-35,18
Diana Taurasi,Mid-Range,Center(C),8-16 ft.,13,11,139
Brittney Griner,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,17,56
Te'a Cooper,Mid-Range,Right Side Center(RC),16-24 ft.,16,121,119
Diana Taurasi,Restricted Area,Center(C),Less Than 8 ft.,1,-14,-1
Nneka Ogwumike,Restricted Area,Center(C),Less Than 8 ft.,2,11,24
Skylar Diggins-Smith,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,73,10
Brianna Turner,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,52,-15
Nneka Ogwumike,Restricted Area,Center(C),Less Than 8 ft.,2,13,19
Skylar Diggins-Smith,Above the Break 3,Right Side Center(RC),24+ ft.,25,195,157
Candace Parker,Above the Break 3,Center(C),24+ ft.,25,-3,254
Brianna Turner,Restricted Area,Center(C),Less Than 8 ft.,2,8,23
Seimone Augustus,Mid-Range,Right Side Center(RC),16-24 ft.,20,138,148
Skylar Diggins-Smith,Above the Break 3,Right Side Center(RC),24+ ft.,24,197,152
Brittney Sykes,Above the Break 3,Left Side Center(LC),24+ ft.,25,-126,216
Chelsea Gray,Restricted Area,Center(C),Less Than 8 ft.,3,-37,2
Candace Parker,Restricted Area,Center(C),Less Than 8 ft.,2,26,9
Skylar Diggins-Smith,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-19,46
Nneka Ogwumike,Restricted Area,Center(C),Less Than 8 ft.,2,-16,12
Chelsea Gray,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,54,-12
Bria Hartley,Above the Break 3,Right Side Center(RC),24+ ft.,25,191,164
Candace Parker,In The Paint (Non-RA),Center(C),8-16 ft.,10,-20,106
Chelsea Gray,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,8,42
Shatori Walker-Kimbrough,Mid-Range,Left Side(L),16-24 ft.,20,-197,47
Seimone Augustus,Mid-Range,Right Side Center(RC),16-24 ft.,19,125,156
Seimone Augustus,Mid-Range,Right Side Center(RC),16-24 ft.,18,106,157
Seimone Augustus,Mid-Range,Left Side(L),8-16 ft.,15,-82,133
Seimone Augustus,Above the Break 3,Center(C),24+ ft.,24,23,240
Nneka Ogwumike,Above the Break 3,Left Side Center(LC),24+ ft.,24,-141,199
Brittney Sykes,Above the Break 3,Left Side Center(LC),24+ ft.,24,-109,217
Nneka Ogwumike,Above the Break 3,Left Side(L),16-24 ft.,22,-217,49
Te'a Cooper,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,67,-22
Bria Hartley,Above the Break 3,Left Side Center(LC),24+ ft.,24,-195,152
Te'a Cooper,Above the Break 3,Right Side Center(RC),24+ ft.,25,187,168
Kia Vaughn,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-48,1
Diana Taurasi,Restricted Area,Center(C),Less Than 8 ft.,2,20,6
Nneka Ogwumike,Mid-Range,Left Side Center(LC),16-24 ft.,18,-67,168
Skylar Diggins-Smith,Above the Break 3,Left Side Center(LC),24+ ft.,24,-209,127
Sydney Wiese,Mid-Range,Right Side Center(RC),16-24 ft.,16,86,144
Riquna Williams,In The Paint (Non-RA),Center(C),8-16 ft.,10,6,103
Te'a Cooper,Restricted Area,Center(C),Less Than 8 ft.,1,0,12
Brittney Griner,Mid-Range,Right Side(R),16-24 ft.,16,159,57
Brianna Turner,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,59,3
Sophie Cunningham,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-36,20
Kristine Anigwe,Restricted Area,Center(C),Less Than 8 ft.,1,13,10
Ariel Atkins,Mid-Range,Right Side(R),16-24 ft.,18,178,65
Myisha Hines-Allen,Mid-Range,Left Side(L),8-16 ft.,15,-81,135
Ariel Atkins,Above the Break 3,Left Side Center(LC),24+ ft.,25,-227,123
Kelsey Mitchell,Restricted Area,Center(C),Less Than 8 ft.,1,17,7
Tiffany Mitchell,In The Paint (Non-RA),Left Side(L),8-16 ft.,15,-78,130
Ariel Atkins,Above the Break 3,Center(C),24+ ft.,24,20,241
Candice Dupree,Mid-Range,Right Side(R),8-16 ft.,10,105,12
Candice Dupree,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-65,44
Leilani Mitchell,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,45,72
Julie Allemand,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,48,31
Kelsey Mitchell,Above the Break 3,Center(C),24+ ft.,24,-68,231
Emma Meesseman,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-50,54
Natalie Achonwa,In The Paint (Non-RA),Center(C),8-16 ft.,11,-45,105
Myisha Hines-Allen,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6
Kelsey Mitchell,Mid-Range,Right Side Center(RC),16-24 ft.,19,98,170
Myisha Hines-Allen,Above the Break 3,Left Side Center(LC),24+ ft.,24,-85,232
Essence Carson,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,52,10
Myisha Hines-Allen,Restricted Area,Center(C),Less Than 8 ft.,3,29,25
Shey Peddy,Restricted Area,Center(C),Less Than 8 ft.,2,-2,27
Tiffany Mitchell,Mid-Range,Left Side(L),16-24 ft.,16,-158,45
Shey Peddy,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,51,32
Shey Peddy,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,41,45
Candice Dupree,Restricted Area,Center(C),Less Than 8 ft.,3,33,22
Myisha Hines-Allen,Above the Break 3,Left Side Center(LC),24+ ft.,24,-187,158
Kiara Leslie,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,41,21
Aerial Powers,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-41,1
Myisha Hines-Allen,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,1,42
Myisha Hines-Allen,Restricted Area,Center(C),Less Than 8 ft.,3,7,39
Emma Meesseman,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,25,43
Emma Meesseman,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,36,29
Tiffany Mitchell,Mid-Range,Left Side(L),16-24 ft.,16,-136,90
Myisha Hines-Allen,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,40,22
Leilani Mitchell,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,28,33
Aerial Powers,Mid-Range,Center(C),16-24 ft.,19,53,185
Candice Dupree,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,41,34
Aerial Powers,Restricted Area,Center(C),Less Than 8 ft.,3,-25,21
Aerial Powers,Above the Break 3,Right Side Center(RC),24+ ft.,24,225,96
Natalie Achonwa,Restricted Area,Center(C),Less Than 8 ft.,2,27,9
Emma Meesseman,Mid-Range,Left Side(L),8-16 ft.,14,-148,5
Candice Dupree,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,-53,82
Tiffany Mitchell,Mid-Range,Left Side(L),8-16 ft.,15,-114,112
Emma Meesseman,Mid-Range,Left Side(L),16-24 ft.,18,-178,62
Emma Meesseman,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,47,46
Kelsey Mitchell,Above the Break 3,Left Side Center(LC),24+ ft.,28,-91,270
Myisha Hines-Allen,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,44,25
Emma Meesseman,Restricted Area,Center(C),Less Than 8 ft.,3,22,29
Tiffany Mitchell,Mid-Range,Left Side Center(LC),16-24 ft.,16,-131,103
Ariel Atkins,Above the Break 3,Left Side Center(LC),24+ ft.,25,-93,234
Myisha Hines-Allen,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,27,55
Julie Allemand,Above the Break 3,Right Side Center(RC),24+ ft.,23,147,188
Aerial Powers,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-13,56
Kennedy Burke,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-55,4
Alaina Coates,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-32,39
Julie Allemand,Above the Break 3,Left Side Center(LC),24+ ft.,25,-139,213
Essence Carson,Mid-Range,Left Side Center(LC),16-24 ft.,18,-142,116
Kelsey Mitchell,Above the Break 3,Left Side Center(LC),24+ ft.,25,-203,154
Essence Carson,Restricted Area,Center(C),Less Than 8 ft.,3,37,14
Kelsey Mitchell,Above the Break 3,Left Side Center(LC),24+ ft.,25,-81,242
Kelsey Mitchell,Above the Break 3,Center(C),24+ ft.,25,32,258
Kiara Leslie,Above the Break 3,Left Side(L),24+ ft.,24,-240,38
Victoria Vivians,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-38,16
Victoria Vivians,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,41,29
Tiffany Mitchell,Above the Break 3,Left Side Center(LC),24+ ft.,25,-152,209
Ariel Atkins,Mid-Range,Left Side Center(LC),16-24 ft.,20,-71,188
Kelsey Mitchell,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-57,1
Victoria Vivians,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-27,37
Sylvia Fowles,Restricted Area,Center(C),Less Than 8 ft.,3,-29,22
Alyssa Thomas,In The Paint (Non-RA),Right Side(R),8-16 ft.,10,76,71
Bria Holmes,Above the Break 3,Left Side(L),16-24 ft.,23,-216,97
Alyssa Thomas,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,30,64
Lexie Brown,In The Paint (Non-RA),Center(C),8-16 ft.,11,9,111
Alyssa Thomas,Restricted Area,Center(C),Less Than 8 ft.,2,-2,26
DeWanna Bonner,Restricted Area,Center(C),Less Than 8 ft.,3,-32,-7
Kayla Alexander,Mid-Range,Right Side(R),16-24 ft.,16,169,15
Alyssa Thomas,Mid-Range,Center(C),8-16 ft.,14,0,141
Kaleena Mosqueda-Lewis,Mid-Range,Left Side Center(LC),16-24 ft.,16,-115,122
Karima Christmas-Kelly,Restricted Area,Center(C),Less Than 8 ft.,3,-25,30
Natisha Hiedeman,Above the Break 3,Left Side Center(LC),24+ ft.,27,-175,211
Sylvia Fowles,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,27,39
Damiris Dantas,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,38,15
DeWanna Bonner,Mid-Range,Left Side Center(LC),16-24 ft.,16,-109,123
Beatrice Mompremier,Mid-Range,Right Side Center(RC),16-24 ft.,20,167,122
Lexie Brown,Restricted Area,Center(C),Less Than 8 ft.,2,14,20
Alyssa Thomas,Restricted Area,Center(C),Less Than 8 ft.,3,37,-7
Shenise Johnson,Mid-Range,Left Side(L),8-16 ft.,8,-84,12
Shenise Johnson,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-40,3
Alyssa Thomas,Restricted Area,Center(C),Less Than 8 ft.,2,-4,25
DeWanna Bonner,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-27,58
DeWanna Bonner,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-51,38
Damiris Dantas,Mid-Range,Left Side(L),8-16 ft.,10,-106,-6
Sylvia Fowles,Restricted Area,Center(C),Less Than 8 ft.,0,6,2
Sylvia Fowles,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6
Brionna Jones,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,50,-5
Sylvia Fowles,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6
DeWanna Bonner,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-36,29
Crystal Dangerfield,In The Paint (Non-RA),Center(C),8-16 ft.,12,12,125
Napheesa Collier,In The Paint (Non-RA),Center(C),8-16 ft.,12,62,113
Jasmine Thomas,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-46,3
Brionna Jones,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-23,43
Rachel Banham,In The Paint (Non-RA),Center(C),8-16 ft.,12,13,123
Damiris Dantas,Mid-Range,Center(C),16-24 ft.,20,-42,199
Damiris Dantas,Above the Break 3,Right Side Center(RC),24+ ft.,25,167,195
Natisha Hiedeman,Mid-Range,Center(C),16-24 ft.,18,47,184
Crystal Dangerfield,Restricted Area,Center(C),Less Than 8 ft.,3,36,13
Crystal Dangerfield,Restricted Area,Center(C),Less Than 8 ft.,2,-19,12
DeWanna Bonner,Mid-Range,Left Side Center(LC),16-24 ft.,20,-95,178
Shenise Johnson,Above the Break 3,Right Side Center(RC),24+ ft.,24,173,174
Sylvia Fowles,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-25,59
Napheesa Collier,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,75,-3
Napheesa Collier,Above the Break 3,Left Side(L),16-24 ft.,23,-219,71
Brionna Jones,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-46,39
Crystal Dangerfield,Above the Break 3,Left Side Center(LC),24+ ft.,24,-115,213
Napheesa Collier,Restricted Area,Center(C),Less Than 8 ft.,2,13,17
Sylvia Fowles,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,6,50
Napheesa Collier,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,15,64
Brionna Jones,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,31,55
Alyssa Thomas,Restricted Area,Center(C),Less Than 8 ft.,3,-30,20
A'ja Wilson,Mid-Range,Center(C),8-16 ft.,14,1,145
Angel McCoughtry,Restricted Area,Center(C),Less Than 8 ft.,0,-7,-5
Stefanie Dolson,Above the Break 3,Left Side Center(LC),24+ ft.,26,-120,235
Lindsay Allen,Restricted Area,Center(C),Less Than 8 ft.,2,-22,4
Azurá Stevens,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,39,30
